No.1	 Depth:1	Wikipedia->encyclopedia
No.2	 Depth:2	encyclopedia->knowledge
No.3	 Depth:2	encyclopedia->comprehensive
No.4	 Depth:2	encyclopedia->encyclop%C3%A6dia
No.5	 Depth:2	encyclopedia->arts
No.6	 Depth:2	encyclopedia->univerbation
No.7	 Depth:2	encyclopedia->circle
No.8	 Depth:2	encyclopedia->reference_work
No.9	 Depth:2	encyclopedia->encyclopaedia
No.10	 Depth:2	encyclopedia->subjects
No.11	 Depth:2	encyclopedia->sciences
No.12	 Depth:1	Wikipedia->transitive
No.13	 Depth:2	transitive->vertex
No.14	 Depth:2	transitive->two
No.15	 Depth:2	transitive->group_action
No.16	 Depth:2	transitive->relation
No.17	 Depth:2	transitive->algebra
No.18	 Depth:2	transitive->element
No.19	 Depth:2	transitive->graph
No.20	 Depth:2	transitive->automorphism
No.21	 Depth:2	transitive->set_theory
No.22	 Depth:2	transitive->map
No.23	 Depth:2	transitive->graph_theory
No.24	 Depth:2	transitive->set
No.25	 Depth:2	transitive->act
No.26	 Depth:2	transitive->grammar
No.27	 Depth:1	Wikipedia->Wikip%C3%A8dia
No.28	 Depth:2	Wikip%C3%A8dia->Wikip%C3%A9dia
No.29	 Depth:1	Wikipedia->intransitive
No.30	 Depth:2	intransitive->direct_object
No.31	 Depth:2	intransitive->grammar
No.32	 Depth:1	Wikipedia->World_Wide_Web
No.33	 Depth:2	World_Wide_Web->WWW
No.34	 Depth:2	World_Wide_Web->hyperlink
No.35	 Depth:2	World_Wide_Web->NNTP
No.36	 Depth:2	World_Wide_Web->HTTP
No.37	 Depth:2	World_Wide_Web->W3
No.38	 Depth:2	World_Wide_Web->document
No.39	 Depth:2	World_Wide_Web->web_page
No.40	 Depth:2	World_Wide_Web->SMTP
No.41	 Depth:2	World_Wide_Web->Internet
No.42	 Depth:2	World_Wide_Web->resource
No.43	 Depth:2	World_Wide_Web->Web
No.44	 Depth:1	Wikipedia->content
No.45	 Depth:2	content->polygon
No.46	 Depth:2	content->affirmate
No.47	 Depth:2	content->alright
No.48	 Depth:2	content->acquiescence
No.49	 Depth:2	content->integral_domain
No.50	 Depth:2	content->examination
No.51	 Depth:2	content->coefficient
No.52	 Depth:2	content->agreed
No.53	 Depth:2	content->happy
No.54	 Depth:2	content->noninvertible
No.55	 Depth:2	content->bill
No.56	 Depth:2	content->capacity
No.57	 Depth:2	content->polynomial
No.58	 Depth:2	content->greatest_common_divisor
No.59	 Depth:2	content->contents
No.60	 Depth:2	content->area
No.61	 Depth:2	content->pleased
No.62	 Depth:2	content->assent
No.63	 Depth:2	content->n-dimensional
No.64	 Depth:2	content->vote
No.65	 Depth:2	content->polyhedron
No.66	 Depth:2	content->mathematics
No.67	 Depth:2	content->motion
No.68	 Depth:2	content->contentment
No.69	 Depth:2	content->algebra
No.70	 Depth:2	content->volume
No.71	 Depth:2	content->satisfied
No.72	 Depth:2	content->contain
No.73	 Depth:2	content->polytope
No.74	 Depth:1	Wikipedia->asteroid
No.75	 Depth:2	asteroid->starfish
No.76	 Depth:2	asteroid->Sedna
No.77	 Depth:2	asteroid->Kuiper_belt_object
No.78	 Depth:2	asteroid->Asteroidea
No.79	 Depth:2	asteroid->asteroid_belt
No.80	 Depth:2	asteroid->centaur
No.81	 Depth:2	asteroid->astronomy
No.82	 Depth:2	asteroid->Pluto
No.83	 Depth:2	asteroid->planetoid
No.84	 Depth:2	asteroid->comet
No.85	 Depth:2	asteroid->Trojan_asteroid
No.86	 Depth:2	asteroid->transneptunian
No.87	 Depth:2	asteroid->Asteroid
No.88	 Depth:2	asteroid->small_Solar_System_body
No.89	 Depth:2	asteroid->zoology
No.90	 Depth:1	Wikipedia->nominative_case
No.91	 Depth:2	nominative_case->agent
No.92	 Depth:2	nominative_case->finite_verb
No.93	 Depth:2	nominative_case->subject
No.94	 Depth:2	nominative_case->nominative-case
No.95	 Depth:2	nominative_case->verb
No.96	 Depth:2	nominative_case->case
No.97	 Depth:2	nominative_case->%E3%81%97%E3%82%85%E3%81%8B%E3%81%8F
No.98	 Depth:2	nominative_case->grammar
No.99	 Depth:1	Wikipedia->collaborative
No.100	 Depth:2	collaborative->management
No.101	 Depth:2	collaborative->collaboration
No.102	 Depth:2	collaborative->collaborate
No.103	 Depth:1	Wikipedia->genitive_case
No.104	 Depth:2	genitive_case->%27s
No.105	 Depth:2	genitive_case->noun
No.106	 Depth:2	genitive_case->possession
No.107	 Depth:2	genitive_case->possessive_case
No.108	 Depth:2	genitive_case->case
No.109	 Depth:2	genitive_case->genitive-case
No.110	 Depth:2	genitive_case->genitive
No.111	 Depth:2	genitive_case->of
No.112	 Depth:2	genitive_case->relationship
No.113	 Depth:2	genitive_case->origin
No.114	 Depth:2	genitive_case->grammar
No.115	 Depth:1	Wikipedia->indefinite_article
No.116	 Depth:2	indefinite_article->noun
No.117	 Depth:2	indefinite_article->precede
No.118	 Depth:2	indefinite_article->indefinite-article
No.119	 Depth:2	indefinite_article->an
No.120	 Depth:2	indefinite_article->a
No.121	 Depth:2	indefinite_article->grammar
No.122	 Depth:2	indefinite_article->class
No.123	 Depth:1	Wikipedia->community
No.124	 Depth:2	community->educational
No.125	 Depth:2	community->likeness
No.126	 Depth:2	community->ecology
No.127	 Depth:2	community->collective
No.128	 Depth:2	community->organism
No.129	 Depth:2	community->interact
No.130	 Depth:2	community->character
No.131	 Depth:2	community->possession
No.132	 Depth:2	community->tradition
No.133	 Depth:2	community->region
No.134	 Depth:2	community->law
No.135	 Depth:2	community->participation
No.136	 Depth:2	community->interdependent
No.137	 Depth:2	community->religious
No.138	 Depth:2	community->enjoyment
No.139	 Depth:2	community->attitude
No.140	 Depth:2	community->inhabit
No.141	 Depth:2	community->virtual_community
No.142	 Depth:2	community->manners
No.143	 Depth:2	community->frequency
No.144	 Depth:2	community->language
No.145	 Depth:2	community->commonness
No.146	 Depth:2	community->commune
No.147	 Depth:2	community->electronic
No.148	 Depth:2	community->residential
No.149	 Depth:2	community->Internet
No.150	 Depth:2	community->Genesis
No.151	 Depth:2	community->social
No.152	 Depth:1	Wikipedia->wiki
No.153	 Depth:2	wiki->website
No.154	 Depth:2	wiki->research
No.155	 Depth:2	wiki->town_square
No.156	 Depth:2	wiki->Wiki
No.157	 Depth:2	wiki->plurale_tantum
No.158	 Depth:2	wiki->contribute
No.159	 Depth:2	wiki->edit
No.160	 Depth:2	wiki->market
No.161	 Depth:2	wiki->week
No.162	 Depth:2	wiki->twenty
No.163	 Depth:1	Wikipedia->language
No.164	 Depth:2	language->passage
No.165	 Depth:2	language->pipe
No.166	 Depth:2	language->jargon
No.167	 Depth:2	language->profanity
No.168	 Depth:2	language->machine_language
No.169	 Depth:2	language->blub
No.170	 Depth:2	language->speech
No.171	 Depth:2	language->organ
No.172	 Depth:2	language->languet
No.173	 Depth:2	language->grammar
No.174	 Depth:2	language->communicate
No.175	 Depth:2	language->slang
No.176	 Depth:2	language->communication
No.177	 Depth:2	language->computer_language
No.178	 Depth:2	language->express
No.179	 Depth:2	language->text
No.180	 Depth:2	language->body
No.181	 Depth:2	language->word
No.182	 Depth:2	language->field
No.183	 Depth:2	language->manner
No.184	 Depth:2	language->sublanguage
No.185	 Depth:2	language->expression
No.186	 Depth:2	language->particular
No.187	 Depth:2	language->specialist
No.188	 Depth:1	Wikipedia->database
No.189	 Depth:2	database->data
No.190	 Depth:2	database->data-base
No.191	 Depth:2	database->DB
No.192	 Depth:2	database->data_base
No.193	 Depth:2	database->table
No.194	 Depth:2	database->computer
No.195	 Depth:2	database->database_management_system
No.196	 Depth:2	database->information
No.197	 Depth:2	database->machine-readable
No.198	 Depth:1	Wikipedia->romaji
No.199	 Depth:2	romaji->Romaji
No.200	 Depth:2	romaji->R%C5%8Dmaji
No.201	 Depth:2	romaji->r%C5%8Dmaji
No.202	 Depth:2	romaji->Japanese
No.203	 Depth:2	romaji->Latin
No.204	 Depth:1	Wikipedia->Wikip%C3%A9dia
No.205	 Depth:2	Wikip%C3%A9dia->accusative_case
No.206	 Depth:2	Wikip%C3%A9dia->causal-final
No.207	 Depth:2	Wikip%C3%A9dia->superessive_case
No.208	 Depth:2	Wikip%C3%A9dia->allative_case
No.209	 Depth:2	Wikip%C3%A9dia->delative_case
No.210	 Depth:2	Wikip%C3%A9dia->translative_case
No.211	 Depth:2	Wikip%C3%A9dia->ablative_case
No.212	 Depth:2	Wikip%C3%A9dia->adessive_case
No.213	 Depth:2	Wikip%C3%A9dia->elative_case
No.214	 Depth:2	Wikip%C3%A9dia->inessive_case
No.215	 Depth:2	Wikip%C3%A9dia->illative_case
No.216	 Depth:2	Wikip%C3%A9dia->instrumental_case
No.217	 Depth:2	Wikip%C3%A9dia->essive-modal
No.218	 Depth:2	Wikip%C3%A9dia->sublative
No.219	 Depth:2	Wikip%C3%A9dia->terminative_case
No.220	 Depth:2	Wikip%C3%A9dia->dative_case
No.221	 Depth:2	Wikip%C3%A9dia->essive-formal
No.222	 Depth:1	Wikipedia->free
No.223	 Depth:2	free->logic
No.224	 Depth:2	free->generous
No.225	 Depth:2	free->checked
No.226	 Depth:2	free->obligation
No.227	 Depth:2	free->identifier
No.228	 Depth:2	free->relator
No.229	 Depth:2	free->attached
No.230	 Depth:2	free->free_transfer
No.231	 Depth:2	free->release
No.232	 Depth:2	free->payment
No.233	 Depth:2	free->unconstrained
No.234	 Depth:2	free->imprisoned
No.235	 Depth:2	free->bound
No.236	 Depth:2	free->morpheme
No.237	 Depth:2	free->-free
No.238	 Depth:2	free->limitation
No.239	 Depth:2	free->base
No.240	 Depth:2	free->blockage
No.241	 Depth:2	free->unattached
No.242	 Depth:2	free->liberi
No.243	 Depth:2	free->loose
No.244	 Depth:2	free->linguistics
No.245	 Depth:2	free->common
No.246	 Depth:2	free->law
No.247	 Depth:2	free->timidity
No.248	 Depth:2	free->software
No.249	 Depth:2	free->enslaved
No.250	 Depth:2	free->botany
No.251	 Depth:2	free->rid
No.252	 Depth:2	free->quantifier
No.253	 Depth:2	free->Gaelic_football
No.254	 Depth:2	free->Australian_rules_football
No.255	 Depth:2	free->mathematics
No.256	 Depth:2	free->free_of_charge
No.257	 Depth:2	free->complimentary
No.258	 Depth:2	free->distrust
No.259	 Depth:2	free->liberty
No.260	 Depth:2	free->mycology
No.261	 Depth:2	free->ere
No.262	 Depth:2	free->liberal
No.263	 Depth:2	free->pay
No.264	 Depth:1	Wikipedia->Internet
No.265	 Depth:2	Internet->Kotus
No.266	 Depth:2	Internet->Internet_of_Things
No.267	 Depth:2	Internet->%C4%B0nternet
No.268	 Depth:2	Internet->network
No.269	 Depth:2	Internet->internet
No.270	 Depth:2	Internet->internetwork
No.271	 Depth:2	Internet->computer
No.272	 Depth:1	Wikipedia->definite_article
No.273	 Depth:2	definite_article->article
No.274	 Depth:2	definite_article->the
No.275	 Depth:2	definite_article->definite-article
No.276	 Depth:2	definite_article->grammar
