No.1	 Thread0	Wikipedia->Wikip%C3%A9dia
No.2	 Thread0	Wikipedia->Wikipedia
No.3	 Thread0	Wikipedia->content
No.4	 Thread0	Wikipedia->genitive_case
No.5	 Thread0	Wikipedia->romaji
No.6	 Thread0	Wikipedia->collaborative
No.7	 Thread0	Wikipedia->Wikip%C3%A8dia
No.8	 Thread0	Wikipedia->free
No.9	 Thread0	Wikipedia->indefinite_article
No.10	 Thread0	Wikipedia->Internet
No.11	 Thread0	Wikipedia->asteroid
No.12	 Thread0	Wikipedia->encyclopedia
No.13	 Thread0	Wikipedia->database
No.14	 Thread0	Wikipedia->community
No.15	 Thread0	Wikipedia->definite_article
No.16	 Thread0	Wikipedia->intransitive
No.17	 Thread0	Wikipedia->wiki
No.18	 Thread0	Wikipedia->nominative_case
No.19	 Thread0	Wikipedia->language
No.20	 Thread0	Wikipedia->transitive
No.21	 Thread0	Wikipedia->World_Wide_Web
No.22	 Thread0	Wikip%C3%A9dia->instrumental_case
No.23	 Thread0	Wikip%C3%A9dia->Wikip%C3%A9dia
No.24	 Thread0	Wikip%C3%A9dia->Wikipedia
No.25	 Thread0	Wikip%C3%A9dia->elative_case
No.26	 Thread0	Wikip%C3%A9dia->essive-formal
No.27	 Thread0	Wikip%C3%A9dia->delative_case
No.28	 Thread0	Wikip%C3%A9dia->Wikip%C3%A8dia
No.29	 Thread0	Wikip%C3%A9dia->translative_case
No.30	 Thread0	Wikip%C3%A9dia->terminative_case
No.31	 Thread0	Wikip%C3%A9dia->sublative
No.32	 Thread0	Wikip%C3%A9dia->superessive_case
No.33	 Thread0	Wikip%C3%A9dia->accusative_case
No.34	 Thread0	Wikip%C3%A9dia->inessive_case
No.35	 Thread0	Wikip%C3%A9dia->allative_case
No.36	 Thread0	Wikip%C3%A9dia->dative_case
No.37	 Thread0	Wikip%C3%A9dia->adessive_case
No.38	 Thread0	Wikip%C3%A9dia->essive-modal
No.39	 Thread0	Wikip%C3%A9dia->ablative_case
No.40	 Thread0	Wikip%C3%A9dia->nominative_case
No.41	 Thread0	Wikip%C3%A9dia->illative_case
No.42	 Thread0	Wikip%C3%A9dia->causal-final
No.43	 Thread2	genitive_case->of
No.44	 Thread2	genitive_case->case
No.45	 Thread2	genitive_case->grammar
No.46	 Thread2	genitive_case->relationship
No.47	 Thread2	genitive_case->Wikipedia
No.48	 Thread2	genitive_case->%27s
No.49	 Thread2	genitive_case->possession
No.50	 Thread2	genitive_case->origin
No.51	 Thread2	genitive_case->possessive_case
No.52	 Thread2	genitive_case->genitive_case
No.53	 Thread2	genitive_case->genitive-case
No.54	 Thread2	genitive_case->noun
No.55	 Thread2	genitive_case->genitive
No.56	 Thread4	definite_article->grammar
No.57	 Thread4	definite_article->article
No.58	 Thread4	definite_article->definite-article
No.59	 Thread4	definite_article->Wikipedia
No.60	 Thread4	definite_article->definite_article
No.61	 Thread4	definite_article->the
No.62	 Thread1	content->satisfied
No.63	 Thread1	content->assent
No.64	 Thread1	content->Wikipedia
No.65	 Thread1	content->content
No.66	 Thread1	content->n-dimensional
No.67	 Thread1	content->affirmate
No.68	 Thread1	content->polynomial
No.69	 Thread1	content->acquiescence
No.70	 Thread1	content->contentment
No.71	 Thread1	content->volume
No.72	 Thread1	content->noninvertible
No.73	 Thread1	content->vote
No.74	 Thread1	content->agreed
No.75	 Thread1	content->coefficient
No.76	 Thread1	content->motion
No.77	 Thread1	content->greatest_common_divisor
No.78	 Thread1	content->integral_domain
No.79	 Thread1	content->algebra
No.80	 Thread1	content->contain
No.81	 Thread1	content->happy
No.82	 Thread1	content->capacity
No.83	 Thread1	content->contents
No.84	 Thread1	content->alright
No.85	 Thread1	content->polytope
No.86	 Thread1	content->pleased
No.87	 Thread1	content->mathematics
No.88	 Thread1	content->area
No.89	 Thread1	content->bill
No.90	 Thread1	content->examination
No.91	 Thread1	content->polyhedron
No.92	 Thread1	content->polygon
No.93	 Thread3	community->organism
No.94	 Thread3	community->commune
No.95	 Thread3	community->interact
No.96	 Thread3	community->enjoyment
No.97	 Thread3	community->tradition
No.98	 Thread3	community->law
No.99	 Thread3	community->virtual_community
No.100	 Thread3	community->interdependent
No.101	 Thread3	community->Internet
No.102	 Thread3	community->educational
No.103	 Thread3	community->attitude
No.104	 Thread3	community->possession
No.105	 Thread3	community->social
No.106	 Thread3	community->religious
No.107	 Thread3	community->manners
No.108	 Thread3	community->character
No.109	 Thread3	community->commonness
No.110	 Thread3	community->collective
No.111	 Thread3	community->likeness
No.112	 Thread3	community->community
No.113	 Thread3	community->residential
No.114	 Thread3	community->electronic
No.115	 Thread3	community->participation
No.116	 Thread3	community->Genesis
No.117	 Thread3	community->frequency
No.118	 Thread3	community->region
No.119	 Thread3	community->language
No.120	 Thread3	community->ecology
No.121	 Thread3	community->inhabit
No.122	 Thread0	intransitive->transitive
No.123	 Thread0	intransitive->grammar
No.124	 Thread0	intransitive->direct_object
No.125	 Thread0	intransitive->intransitive
No.126	 Thread3	collaborative->collaborative
No.127	 Thread4	nominative_case->nominative-case
No.128	 Thread3	collaborative->management
No.129	 Thread4	nominative_case->case
No.130	 Thread3	collaborative->collaborate
No.131	 Thread4	nominative_case->grammar
No.132	 Thread2	romaji->Japanese
No.133	 Thread3	collaborative->collaboration
No.134	 Thread2	romaji->romaji
No.135	 Thread2	romaji->Latin
No.136	 Thread4	nominative_case->agent
No.137	 Thread1	wiki->wiki
No.138	 Thread2	romaji->R%C5%8Dmaji
No.139	 Thread1	wiki->contribute
No.141	 Thread2	romaji->r%C5%8Dmaji
No.142	 Thread1	wiki->town_square
No.140	 Thread4	nominative_case->nominative_case
No.143	 Thread2	romaji->Wikipedia
No.144	 Thread1	wiki->collaborative
No.145	 Thread2	romaji->Romaji
No.146	 Thread1	wiki->nominative_case
No.148	 Thread1	wiki->twenty
No.147	 Thread4	nominative_case->%E3%81%97%E3%82%85%E3%81%8B%E3%81%8F
No.149	 Thread1	wiki->research
No.150	 Thread4	nominative_case->Wikipedia
No.151	 Thread1	wiki->Wikipedia
No.152	 Thread1	wiki->week
No.153	 Thread4	nominative_case->finite_verb
No.154	 Thread1	wiki->market
No.155	 Thread1	wiki->Wiki
No.156	 Thread4	nominative_case->verb
No.157	 Thread1	wiki->plurale_tantum
No.158	 Thread4	nominative_case->subject
No.159	 Thread1	wiki->genitive_case
No.160	 Thread1	wiki->edit
No.161	 Thread1	wiki->website
No.162	 Thread0	Wikip%C3%A8dia->Wikipedia
No.163	 Thread0	Wikip%C3%A8dia->Wikip%C3%A9dia
No.164	 Thread0	Wikip%C3%A8dia->Wikip%C3%A8dia
No.165	 Thread1	free->base
No.166	 Thread1	free->distrust
No.167	 Thread1	free->-free
No.168	 Thread1	free->rid
No.169	 Thread1	free->relator
No.170	 Thread1	free->software
No.171	 Thread1	free->unconstrained
No.172	 Thread1	free->identifier
No.173	 Thread1	free->law
No.174	 Thread1	free->loose
No.175	 Thread1	free->limitation
No.176	 Thread1	free->free
No.177	 Thread1	free->linguistics
No.178	 Thread1	free->release
No.179	 Thread1	free->obligation
No.180	 Thread1	free->pay
No.181	 Thread1	free->timidity
No.182	 Thread1	free->unattached
No.183	 Thread1	free->blockage
No.184	 Thread1	free->quantifier
No.185	 Thread1	free->logic
No.186	 Thread1	free->bound
No.187	 Thread1	free->free_of_charge
No.188	 Thread1	free->liberal
No.189	 Thread1	free->attached
No.190	 Thread1	free->generous
No.191	 Thread1	free->liberi
No.192	 Thread1	free->Australian_rules_football
No.193	 Thread1	free->payment
No.194	 Thread1	free->botany
No.195	 Thread1	free->mathematics
No.196	 Thread1	free->checked
No.197	 Thread1	free->free_transfer
No.198	 Thread1	free->liberty
No.199	 Thread1	free->mycology
No.200	 Thread1	free->Gaelic_football
No.201	 Thread1	free->enslaved
No.202	 Thread1	free->morpheme
No.203	 Thread1	free->imprisoned
No.204	 Thread1	free->complimentary
No.205	 Thread1	free->ere
No.206	 Thread1	free->common
No.207	 Thread2	indefinite_article->grammar
No.208	 Thread4	Internet->Internet_of_Things
No.209	 Thread2	indefinite_article->indefinite_article
No.210	 Thread4	Internet->internet
No.211	 Thread2	indefinite_article->precede
No.212	 Thread4	Internet->%C4%B0nternet
No.213	 Thread2	indefinite_article->Wikipedia
No.214	 Thread4	Internet->computer
No.215	 Thread2	indefinite_article->an
No.216	 Thread4	Internet->Wikipedia
No.217	 Thread2	indefinite_article->indefinite-article
No.218	 Thread4	Internet->Internet
No.219	 Thread2	indefinite_article->noun
No.220	 Thread4	Internet->internetwork
No.222	 Thread4	Internet->Kotus
No.223	 Thread4	Internet->network
No.221	 Thread2	indefinite_article->class
No.224	 Thread2	indefinite_article->a
No.225	 Thread3	language->jargon
No.226	 Thread3	language->specialist
No.227	 Thread3	language->languet
No.228	 Thread3	language->Wikipedia
No.229	 Thread3	language->express
No.230	 Thread3	language->passage
No.231	 Thread3	language->manner
No.232	 Thread3	language->computer_language
No.233	 Thread3	language->slang
No.234	 Thread3	language->speech
No.235	 Thread3	language->communicate
No.236	 Thread3	language->community
No.237	 Thread3	language->particular
No.238	 Thread3	language->sublanguage
No.239	 Thread3	language->organ
No.240	 Thread3	language->field
No.241	 Thread3	language->text
No.242	 Thread3	language->word
No.243	 Thread3	language->grammar
No.244	 Thread3	language->body
No.245	 Thread3	language->blub
No.246	 Thread3	language->expression
No.247	 Thread3	language->language
No.248	 Thread3	language->machine_language
No.249	 Thread3	language->communication
No.250	 Thread3	language->pipe
No.251	 Thread3	language->profanity
No.252	 Thread4	World_Wide_Web->Web
No.253	 Thread4	World_Wide_Web->hyperlink
No.254	 Thread4	World_Wide_Web->resource
No.255	 Thread4	World_Wide_Web->W3
No.256	 Thread4	World_Wide_Web->document
No.257	 Thread4	World_Wide_Web->web_page
No.258	 Thread4	World_Wide_Web->HTTP
No.259	 Thread4	World_Wide_Web->SMTP
No.260	 Thread4	World_Wide_Web->Wikipedia
No.261	 Thread4	World_Wide_Web->Internet
No.262	 Thread4	World_Wide_Web->World_Wide_Web
No.263	 Thread4	World_Wide_Web->WWW
No.264	 Thread4	World_Wide_Web->NNTP
No.265	 Thread0	asteroid->small_Solar_System_body
No.266	 Thread0	asteroid->Trojan_asteroid
No.267	 Thread0	asteroid->Asteroidea
No.268	 Thread0	asteroid->starfish
No.269	 Thread0	asteroid->comet
No.270	 Thread0	asteroid->astronomy
No.271	 Thread0	asteroid->Pluto
No.272	 Thread0	asteroid->Asteroid
No.273	 Thread0	asteroid->Wikipedia
No.274	 Thread0	asteroid->planetoid
No.275	 Thread0	asteroid->asteroid
No.276	 Thread0	asteroid->transneptunian
No.277	 Thread0	asteroid->asteroid_belt
No.278	 Thread0	asteroid->Kuiper_belt_object
No.279	 Thread0	asteroid->zoology
No.280	 Thread0	asteroid->Sedna
No.281	 Thread0	asteroid->centaur
No.282	 Thread1	encyclopedia->encyclopaedia
No.283	 Thread1	encyclopedia->knowledge
No.284	 Thread1	encyclopedia->encyclop%C3%A6dia
No.285	 Thread1	encyclopedia->Wikipedia
No.286	 Thread1	encyclopedia->reference_work
No.287	 Thread1	encyclopedia->encyclopedia
No.288	 Thread1	encyclopedia->univerbation
No.289	 Thread1	encyclopedia->sciences
No.290	 Thread1	encyclopedia->comprehensive
No.291	 Thread1	encyclopedia->subjects
No.292	 Thread1	encyclopedia->circle
No.293	 Thread1	encyclopedia->arts
No.294	 Thread3	transitive->map
No.295	 Thread3	transitive->graph
No.296	 Thread3	transitive->set_theory
No.297	 Thread3	transitive->grammar
No.298	 Thread3	transitive->algebra
No.299	 Thread3	transitive->vertex
No.300	 Thread3	transitive->transitive
No.301	 Thread3	transitive->act
No.302	 Thread3	transitive->element
No.303	 Thread3	transitive->set
No.304	 Thread3	transitive->group_action
No.305	 Thread3	transitive->graph_theory
No.306	 Thread3	transitive->automorphism
No.307	 Thread3	transitive->relation
No.308	 Thread3	transitive->two
No.309	 Thread2	database->information
No.310	 Thread2	database->DB
No.311	 Thread2	database->table
No.312	 Thread2	database->nominative_case
No.313	 Thread2	database->computer
No.314	 Thread2	database->Wikipedia
No.315	 Thread2	database->machine-readable
No.316	 Thread2	database->database
No.317	 Thread2	database->data_base
No.318	 Thread2	database->database_management_system
No.319	 Thread2	database->genitive_case
No.320	 Thread2	database->data-base
No.321	 Thread2	database->data
